Date,value
1/3/2011,0.002903226
1/4/2011,-0.010645161
1/5/2011,-0.024193548
1/6/2011,-0.037741934
1/7/2011,-0.051290321
1/8/2011,-0.064838708
1/9/2011,-0.078387095
1/10/2011,-0.091935482
1/11/2011,-0.105483869
1/12/2011,-0.119032256
1/13/2011,-0.132580643
1/14/2011,-0.14612903
1/15/2011,-0.159677417
1/16/2011,-0.173225804
1/17/2011,-0.186774191
1/18/2011,-0.200322578
1/19/2011,-0.213870965
1/20/2011,-0.227419352
1/21/2011,-0.240967739
1/22/2011,-0.254516127
1/23/2011,-0.268064514
1/24/2011,-0.281612901
1/25/2011,-0.295161288
1/26/2011,-0.308709675
1/27/2011,-0.322258063
1/28/2011,-0.33580645
1/29/2011,-0.349354838
1/30/2011,-0.362903225
1/31/2011,-0.376451612
2/1/2011,-0.39
2/2/2011,-0.3625
2/3/2011,-0.335
2/4/2011,-0.307499999
2/5/2011,-0.279999999
2/6/2011,-0.252499999
2/7/2011,-0.224999999
2/8/2011,-0.197499999
2/9/2011,-0.169999999
2/10/2011,-0.142499999
2/11/2011,-0.114999999
2/12/2011,-0.087499999
2/13/2011,-0.059999999
2/14/2011,-0.0325
2/15/2011,-0.005
2/16/2011,0.0225
2/17/2011,0.05
2/18/2011,0.0775
2/19/2011,0.105
2/20/2011,0.1325
2/21/2011,0.16
2/22/2011,0.1875
2/23/2011,0.215
2/24/2011,0.2425
2/25/2011,0.27
2/26/2011,0.2975
2/27/2011,0.325
2/28/2011,0.3525
3/1/2011,0.38
3/2/2011,0.351935484
3/3/2011,0.323870968
3/4/2011,0.295806451
3/5/2011,0.267741935
3/6/2011,0.239677419
3/7/2011,0.211612903
3/8/2011,0.183548387
3/9/2011,0.155483871
3/10/2011,0.127419355
3/11/2011,0.099354839
3/12/2011,0.071290323
3/13/2011,0.043225807
3/14/2011,0.015161291
3/15/2011,-0.012903225
3/16/2011,-0.040967741
3/17/2011,-0.069032257
3/18/2011,-0.097096773
3/19/2011,-0.125161289
3/20/2011,-0.153225805
3/21/2011,-0.181290321
3/22/2011,-0.209354837
3/23/2011,-0.237419353
3/24/2011,-0.26548387
3/25/2011,-0.293548386
3/26/2011,-0.321612902
3/27/2011,-0.349677418
3/28/2011,-0.377741934
3/29/2011,-0.405806451
3/30/2011,-0.433870967
3/31/2011,-0.461935484
4/1/2011,-0.49
4/2/2011,-0.484666666
4/3/2011,-0.479333332
4/4/2011,-0.473999998
4/5/2011,-0.468666664
4/6/2011,-0.46333333
4/7/2011,-0.457999997
4/8/2011,-0.452666663
4/9/2011,-0.447333329
4/10/2011,-0.441999996
4/11/2011,-0.436666662
4/12/2011,-0.431333329
4/13/2011,-0.425999995
4/14/2011,-0.420666662
4/15/2011,-0.415333328
4/16/2011,-0.409999995
4/17/2011,-0.404666662
4/18/2011,-0.399333328
4/19/2011,-0.393999995
4/20/2011,-0.388666662
4/21/2011,-0.383333329
4/22/2011,-0.377999996
4/23/2011,-0.372666663
4/24/2011,-0.36733333
4/25/2011,-0.361999997
4/26/2011,-0.356666664
4/27/2011,-0.351333331
4/28/2011,-0.345999998
4/29/2011,-0.340666665
4/30/2011,-0.335333333
5/1/2011,-0.33
5/2/2011,-0.32
5/3/2011,-0.309999999
5/4/2011,-0.299999999
5/5/2011,-0.289999999
5/6/2011,-0.279999998
5/7/2011,-0.269999998
5/8/2011,-0.259999998
5/9/2011,-0.249999998
5/10/2011,-0.239999998
5/11/2011,-0.229999998
5/12/2011,-0.219999998
5/13/2011,-0.209999997
5/14/2011,-0.199999997
5/15/2011,-0.189999997
5/16/2011,-0.179999997
5/17/2011,-0.169999998
5/18/2011,-0.159999998
5/19/2011,-0.149999998
5/20/2011,-0.139999998
5/21/2011,-0.129999998
5/22/2011,-0.119999998
5/23/2011,-0.109999998
5/24/2011,-0.099999998
5/25/2011,-0.089999998
5/26/2011,-0.079999999
5/27/2011,-0.069999999
5/28/2011,-0.059999999
5/29/2011,-0.049999999
5/30/2011,-0.04
5/31/2011,-0.03
6/1/2011,-0.02
6/2/2011,-0.014
6/3/2011,-0.008
