Date,percent
2/23/2011,79.46575313
2/24/2011,79.74128584
2/25/2011,80.113881
2/26/2011,80.44501786
2/27/2011,80.7346964
2/28/2011,80.98291662
3/1/2011,81.18967854
3/2/2011,81.35498214
3/3/2011,81.47882743
3/4/2011,81.56121441
3/5/2011,81.66755447
3/6/2011,81.79784762
3/7/2011,81.95209384
3/8/2011,82.13029314
3/9/2011,82.33244553
3/10/2011,82.55855099
3/11/2011,82.80860954
3/12/2011,83.03881994
3/13/2011,83.24918219
3/14/2011,83.43969629
3/15/2011,83.61036225
3/16/2011,83.76118006
3/17/2011,83.89214973
3/18/2011,84.00327124
3/19/2011,84.08481328
3/20/2011,84.13677585
3/21/2011,84.15915895
3/22/2011,84.15196257
3/23/2011,84.11518672
3/24/2011,84.04883139
3/25/2011,83.95289659
3/26/2011,83.91132527
3/27/2011,83.92411742
3/28/2011,83.99127305
3/29/2011,84.11279215
3/30/2011,84.28867473
3/31/2011,84.51892078
4/1/2011,84.80353031
4/2/2011,84.93096998
4/3/2011,84.90123978
4/4/2011,84.71433972
4/5/2011,84.3702698
4/6/2011,83.86903002
4/7/2011,83.21062038
4/8/2011,82.39504087
4/9/2011,81.76092357
4/10/2011,81.30826848
4/11/2011,81.03707559
4/12/2011,80.94734491
4/13/2011,81.03907643
4/14/2011,81.31227016
4/15/2011,81.7669261
4/16/2011,82.1427203
4/17/2011,82.43965276
4/18/2011,82.65772348
4/19/2011,82.79693246
4/20/2011,82.8572797
4/21/2011,82.8387652
4/22/2011,82.74138897
4/23/2011,82.6753552
4/24/2011,82.6406639
4/25/2011,82.63731506
4/26/2011,82.6653087
4/27/2011,82.7246448
4/28/2011,82.81532338
4/29/2011,82.93734442
4/30/2011,82.99643951
5/1/2011,82.99260867
5/2/2011,82.92585188
5/3/2011,82.79616916
5/4/2011,82.60356049
5/5/2011,82.34802587
5/6/2011,82.02956532
5/7/2011,81.78933181
5/8/2011,81.62732534
5/9/2011,81.54354591
5/10/2011,81.53799353
5/11/2011,81.6106682
5/12/2011,81.7615699
5/13/2011,81.99069865
5/14/2011,82.28506679
5/15/2011,82.64467431
5/16/2011,83.06952123
5/17/2011,83.55960752
5/18/2011,84.11493321
5/19/2011,84.73549828
5/20/2011,85.42130274
5/21/2011,85.95976769
5/22/2011,86.35089312
5/23/2011,86.59467903
5/24/2011,86.69112543
5/25/2011,86.64023231
5/26/2011,86.44199968
5/27/2011,86.09642753
5/28/2011,85.8683915
5/29/2011,85.75789158
5/30/2011,85.76492777
5/31/2011,85.88950008
6/1/2011,86.1316085
6/2/2011,86.49125304
6/3/2011,86.96843369
6/4/2011,87.29561739
6/5/2011,87.47280413
6/6/2011,87.49999391
6/7/2011,87.37718674
6/8/2011,87.10438261
6/9/2011,86.68158153
6/10/2011,86.1087835
6/11/2011,85.74968679
6/12/2011,85.6042914
6/13/2011,85.67259735
6/14/2011,85.95460462
6/15/2011,86.45031321
6/16/2011,87.15972314
6/17/2011,88.08283439
6/18/2011,88.79942463
6/19/2011,89.30949384
6/20/2011,89.61304204
6/21/2011,89.71006922
6/22/2011,89.60057537
6/23/2011,89.28456052
6/24/2011,88.76202464
6/25/2011,88.35268664
6/26/2011,88.05654651
6/27/2011,87.87360425
6/28/2011,87.80385987
6/29/2011,87.84731336
6/30/2011,88.00396473
7/1/2011,88.27381397
7/2/2011,88.45824299
7/3/2011,88.55725181
7/4/2011,88.57084042
7/5/2011,88.49900882
7/6/2011,88.34175701
7/7/2011,88.09908498
7/8/2011,87.77099275
7/9/2011,87.59456101
7/10/2011,87.56978977
7/11/2011,87.69667901
7/12/2011,87.97522875
7/13/2011,88.40543899
7/14/2011,88.98730972
7/15/2011,89.72084094
7/16/2011,90.25169284
7/17/2011,90.57986541
7/18/2011,90.70535865
7/19/2011,90.62817257
7/20/2011,90.34830716
7/21/2011,89.86576243
7/22/2011,89.18053838
7/23/2011,88.64220604
7/24/2011,88.25076544
7/25/2011,88.00621655
7/26/2011,87.90855939
7/27/2011,87.95779396
7/28/2011,88.15392024
7/29/2011,88.49693826
7/30/2011,88.81170723
7/31/2011,89.09822717
8/1/2011,89.35649807
8/2/2011,89.58651994
8/3/2011,89.78829277
8/4/2011,89.96181656
8/5/2011,90.10709131
8/6/2011,90.18450162
8/7/2011,90.19404748
8/8/2011,90.13572889
8/9/2011,90.00954586
8/10/2011,89.81549838
8/11/2011,89.55358646
8/12/2011,89.22381009
8/13/2011,89.00222359
8/14/2011,88.88882698
8/15/2011,88.88362024
8/16/2011,88.98660339
8/17/2011,89.19777641
8/18/2011,89.5171393
8/19/2011,89.94469208
8/20/2011,90.25632605
8/21/2011,90.45204123
8/22/2011,90.5318376
8/23/2011,90.49571517
8/24/2011,90.34367395
8/25/2011,90.07571392
8/26/2011,89.69183509
8/27/2011,89.39043143
8/28/2011,89.17150295
8/29/2011,89.03504965
8/30/2011,88.98107152
8/31/2011,89.00956857
9/1/2011,89.12054079
9/2/2011,89.31398818
9/3/2011,89.39564428
9/4/2011,89.36550909
9/5/2011,89.22358259
9/6/2011,88.9698648
9/7/2011,88.60435572
9/8/2011,88.12705533
9/9/2011,87.53796366
9/10/2011,87.1025359
9/11/2011,86.82077207
9/12/2011,86.69267215
9/13/2011,86.71823617
9/14/2011,86.8974641
9/15/2011,87.23035596
9/16/2011,87.71691174
9/17/2011,88.09389513
9/18/2011,88.36130614
9/19/2011,88.51914477
9/20/2011,88.56741101
9/21/2011,88.50610487
9/22/2011,88.33522634
9/23/2011,88.05477542
9/24/2011,87.84764667
9/25/2011,87.71384009
9/26/2011,87.65335567
9/27/2011,87.66619342
9/28/2011,87.75235333
9/29/2011,87.91183541
9/30/2011,88.14463965
10/1/2011,88.23456235
10/2/2011,88.1816035
10/3/2011,87.9857631
10/4/2011,87.64704115
10/5/2011,87.16543765
10/6/2011,86.5409526
10/7/2011,85.77358601
10/8/2011,85.09728363
10/9/2011,84.51204548
10/10/2011,84.01787156
10/11/2011,83.61476185
10/12/2011,83.30271637
10/13/2011,83.08173511
10/14/2011,82.95181807
10/15/2011,82.88914266
10/16/2011,82.89370888
10/17/2011,82.96551674
10/18/2011,83.10456622
10/19/2011,83.31085734
10/20/2011,83.58439009
10/21/2011,83.92516447
10/22/2011,84.2475029
10/23/2011,84.55140537
10/24/2011,84.8368719
10/25/2011,85.10390248
10/26/2011,85.3524971
10/27/2011,85.58265578
10/28/2011,85.7943785
10/29/2011,85.86490789
10/30/2011,85.79424395
10/31/2011,85.58238667
11/1/2011,85.22933606
11/2/2011,84.73509211
11/3/2011,84.09965482
11/4/2011,83.3230242
11/5/2011,82.74725204
11/6/2011,82.37233834
11/7/2011,82.19828309
11/8/2011,82.22508629
11/9/2011,82.45274796
11/10/2011,82.88126808
11/11/2011,83.51064666
11/12/2011,84.06517744
11/13/2011,84.54486042
11/14/2011,84.9496956
11/15/2011,85.27968298
11/16/2011,85.53482256
11/17/2011,85.71511434
11/18/2011,85.82055833
11/19/2011,85.84639103
11/20/2011,85.79261244
11/21/2011,85.65922257
11/22/2011,85.44622141
11/23/2011,85.15360897
11/24/2011,84.78138525
11/25/2011,84.32955023
11/26/2011,84.08095957
11/27/2011,84.03561326
11/28/2011,84.1935113
11/29/2011,84.55465369
11/30/2011,85.11904043
12/1/2011,85.88667152
12/2/2011,86.85754695
12/3/2011,87.56965074
12/4/2011,88.02298286
12/5/2011,88.21754332
12/6/2011,88.15333212
12/7/2011,87.83034927
12/8/2011,87.24859475
12/9/2011,86.40806858
12/10/2011,85.71923115
12/11/2011,85.18208246
12/12/2011,84.79662251
12/13/2011,84.56285131
12/14/2011,84.48076885
12/15/2011,84.55037514
12/16/2011,84.77167016
12/17/2011,84.92602079
12/18/2011,85.013427
12/19/2011,85.03388881
12/20/2011,84.98740622
12/21/2011,84.87397922
12/22/2011,84.69360781
12/23/2011,84.446292
12/24/2011,84.26093312
12/25/2011,84.13753116
12/26/2011,84.07608614
12/27/2011,84.07659805
12/28/2011,84.13906688
12/29/2011,84.26349265
12/30/2011,84.44987535
12/31/2011,84.63513011
1/1/2012,84.81925695
1/2/2012,85.00225586
1/3/2012,85.18412684
1/4/2012,85.36486989
1/5/2012,85.54448501
1/6/2012,85.7229722
1/7/2012,85.81915517
1/8/2012,85.83303391
1/9/2012,85.76460844
1/10/2012,85.61387875
1/11/2012,85.38084484
1/12/2012,85.0655067
1/13/2012,84.66786434
1/14/2012,84.29835483
1/15/2012,83.95697815
1/16/2012,83.64373432
1/17/2012,83.35862333
1/18/2012,83.10164517
1/19/2012,82.87279986
1/20/2012,82.67208739
1/21/2012,82.48763117
1/22/2012,82.3194312
1/23/2012,82.16748749
1/24/2012,82.03180004
1/25/2012,81.91236883
1/26/2012,81.80919388
1/27/2012,81.72227518
1/28/2012,81.6776666
1/29/2012,81.67536813
1/30/2012,81.71537977
1/31/2012,81.79770153
2/1/2012,81.9223334
2/2/2012,82.08927539
2/3/2012,82.29852748
2/4/2012,82.49199411
2/5/2012,82.66967526
2/6/2012,82.83157094
2/7/2012,82.97768115
2/8/2012,83.10800589
2/9/2012,83.22254516
2/10/2012,83.32129895
2/11/2012,83.4678577
2/12/2012,83.66222141
2/13/2012,83.90439008
2/14/2012,84.19436371
2/15/2012,84.5321423
2/16/2012,84.91772584
2/17/2012,85.35111435
2/18/2012,85.64059287
2/19/2012,85.78616141
2/20/2012,85.78781996
2/21/2012,85.64556854
2/22/2012,85.35940713
2/23/2012,84.92933574
2/24/2012,84.35535437
2/25/2012,83.90219671
2/26/2012,83.56986278
2/27/2012,83.35835256
2/28/2012,83.26766606
2/29/2012,83.29780329
3/1/2012,83.44876422
3/2/2012,83.72054888
3/3/2012,83.91284568
3/4/2012,84.02565463
3/5/2012,84.05897571
3/6/2012,84.01280894
3/7/2012,83.88715432
3/8/2012,83.68201183
3/9/2012,83.39738149
3/10/2012,83.13231484
3/11/2012,82.88681189
3/12/2012,82.66087262
3/13/2012,82.45449704
3/14/2012,82.26768516
3/15/2012,82.10043696
3/16/2012,81.95275246
3/17/2012,81.89135559
3/18/2012,81.91624635
3/19/2012,82.02742474
3/20/2012,82.22489076
3/21/2012,82.50864441
3/22/2012,82.8786857
3/23/2012,83.33501461
3/24/2012,83.76584336
3/25/2012,84.17117193
3/26/2012,84.55100034
3/27/2012,84.90532858
3/28/2012,85.23415664
3/29/2012,85.53748454
3/30/2012,85.81531226
3/31/2012,85.97454056
4/1/2012,86.01516942
4/2/2012,85.93719886
4/3/2012,85.74062887
4/4/2012,85.42545944
4/5/2012,84.99169059
4/6/2012,84.43932231
4/7/2012,84.01417685
4/8/2012,83.7162542
4/9/2012,83.54555437
4/10/2012,83.50207735
4/11/2012,83.58582315
4/12/2012,83.79679177
4/13/2012,84.13498321
4/14/2012,84.40447996
4/15/2012,84.60528201
4/16/2012,84.73738938
4/17/2012,84.80080206
4/18/2012,84.79552004
4/19/2012,84.72154334
4/20/2012,84.57887195
4/21/2012,84.50484333
4/22/2012,84.4994575
4/23/2012,84.56271444
4/24/2012,84.69461417
4/25/2012,84.89515667
4/26/2012,85.16434195
4/27/2012,85.50217001
4/28/2012,85.7755413
4/29/2012,85.98445581
4/30/2012,86.12891355
