Date,TCU
12/10/2010,75.52671288
12/11/2010,75.5235032
12/12/2010,75.52029353
12/13/2010,75.51708385
12/14/2010,75.51387417
12/15/2010,75.51066449
12/16/2010,75.50745481
12/17/2010,75.50424514
12/18/2010,75.50103546
12/19/2010,75.49782578
12/20/2010,75.49461611
12/21/2010,75.49140643
12/22/2010,75.48819675
12/23/2010,75.48498708
12/24/2010,75.4817774
12/25/2010,75.47856772
12/26/2010,75.47535805
12/27/2010,75.47214837
12/28/2010,75.4689387
12/29/2010,75.46572902
12/30/2010,75.46251935
12/31/2010,75.45930967
1/1/2011,75.4561
1/2/2011,75.44587096
1/3/2011,75.43564193
1/4/2011,75.4254129
1/5/2011,75.41518386
1/6/2011,75.40495483
1/7/2011,75.39472579
1/8/2011,75.38449676
1/9/2011,75.37426772
1/10/2011,75.36403869
1/11/2011,75.35380966
1/12/2011,75.34358062
1/13/2011,75.33335159
1/14/2011,75.32312256
1/15/2011,75.31289353
1/16/2011,75.30266449
1/17/2011,75.29243546
1/18/2011,75.28220643
1/19/2011,75.2719774
1/20/2011,75.26174837
1/21/2011,75.25151933
1/22/2011,75.2412903
1/23/2011,75.23106127
1/24/2011,75.22083224
1/25/2011,75.21060321
1/26/2011,75.20037418
1/27/2011,75.19014515
1/28/2011,75.17991612
1/29/2011,75.16968709
1/30/2011,75.15945806
1/31/2011,75.14922903
2/1/2011,75.139
2/2/2011,75.16668928
2/3/2011,75.19437857
2/4/2011,75.22206785
2/5/2011,75.24975713
2/6/2011,75.27744642
2/7/2011,75.3051357
2/8/2011,75.33282499
2/9/2011,75.36051427
2/10/2011,75.38820355
2/11/2011,75.41589284
2/12/2011,75.44358212
2/13/2011,75.47127141
2/14/2011,75.49896069
2/15/2011,75.52664998
2/16/2011,75.55433927
2/17/2011,75.58202855
2/18/2011,75.60971784
2/19/2011,75.63740712
2/20/2011,75.66509641
2/21/2011,75.6927857
2/22/2011,75.72047498
2/23/2011,75.74816427
2/24/2011,75.77585356
2/25/2011,75.80354285
2/26/2011,75.83123213
2/27/2011,75.85892142
2/28/2011,75.88661071
3/1/2011,75.9143
3/2/2011,75.90518064
3/3/2011,75.89606128
3/4/2011,75.88694193
3/5/2011,75.87782257
3/6/2011,75.86870321
3/7/2011,75.85958385
3/8/2011,75.8504645
3/9/2011,75.84134514
3/10/2011,75.83222578
3/11/2011,75.82310643
3/12/2011,75.81398707
3/13/2011,75.80486772
3/14/2011,75.79574836
3/15/2011,75.786629
3/16/2011,75.77750965
3/17/2011,75.76839029
3/18/2011,75.75927094
3/19/2011,75.75015159
3/20/2011,75.74103223
3/21/2011,75.73191288
3/22/2011,75.72279352
3/23/2011,75.71367417
3/24/2011,75.70455482
3/25/2011,75.69543546
3/26/2011,75.68631611
3/27/2011,75.67719676
3/28/2011,75.66807741
3/29/2011,75.65895805
3/30/2011,75.6498387
3/31/2011,75.64071935
4/1/2011,75.6316
4/2/2011,75.63419
4/3/2011,75.63677999
4/4/2011,75.63936999
4/5/2011,75.64195999
4/6/2011,75.64454999
4/7/2011,75.64713998
4/8/2011,75.64972998
4/9/2011,75.65231998
4/10/2011,75.65490998
4/11/2011,75.65749998
4/12/2011,75.66008998
4/13/2011,75.66267998
4/14/2011,75.66526998
4/15/2011,75.66785998
4/16/2011,75.67044997
4/17/2011,75.67303998
4/18/2011,75.67562998
4/19/2011,75.67821998
4/20/2011,75.68080998
4/21/2011,75.68339998
4/22/2011,75.68598998
4/23/2011,75.68857998
4/24/2011,75.69116998
4/25/2011,75.69375998
