Date,value
3/19/2010,90.42661296
3/20/2010,90.43755812
3/21/2010,90.44850328
3/22/2010,90.45944844
3/23/2010,90.4703936
3/24/2010,90.48133875
3/25/2010,90.49228391
3/26/2010,90.50322907
3/27/2010,90.51417422
3/28/2010,90.52511938
3/29/2010,90.53606454
3/30/2010,90.54700969
3/31/2010,90.55795485
4/1/2010,90.5689
4/2/2010,90.61076001
4/3/2010,90.65262001
4/4/2010,90.69448002
4/5/2010,90.73634002
4/6/2010,90.77820003
4/7/2010,90.82006003
4/8/2010,90.86192003
4/9/2010,90.90378004
4/10/2010,90.94564004
4/11/2010,90.98750004
4/12/2010,91.02936004
4/13/2010,91.07122004
4/14/2010,91.11308005
4/15/2010,91.15494005
4/16/2010,91.19680005
4/17/2010,91.23866005
4/18/2010,91.28052004
4/19/2010,91.32238004
4/20/2010,91.36424004
4/21/2010,91.40610004
4/22/2010,91.44796004
4/23/2010,91.48982003
4/24/2010,91.53168003
4/25/2010,91.57354003
4/26/2010,91.61540002
4/27/2010,91.65726002
4/28/2010,91.69912002
4/29/2010,91.74098001
4/30/2010,91.78284001
5/1/2010,91.8247
5/2/2010,91.83058065
5/3/2010,91.8364613
5/4/2010,91.84234195
5/5/2010,91.8482226
5/6/2010,91.85410325
5/7/2010,91.8599839
5/8/2010,91.86586454
5/9/2010,91.87174519
5/10/2010,91.87762584
5/11/2010,91.88350649
5/12/2010,91.88938713
5/13/2010,91.89526778
5/14/2010,91.90114843
5/15/2010,91.90702907
5/16/2010,91.91290972
5/17/2010,91.91879036
5/18/2010,91.92467101
5/19/2010,91.93055165
5/20/2010,91.9364323
5/21/2010,91.94231294
5/22/2010,91.94819358
5/23/2010,91.95407423
5/24/2010,91.95995487
5/25/2010,91.96583551
5/26/2010,91.97171615
5/27/2010,91.9775968
5/28/2010,91.98347744
5/29/2010,91.98935808
5/30/2010,91.99523872
5/31/2010,92.00111936
6/1/2010,92.007
6/2/2010,92.01999
6/3/2010,92.03298001
6/4/2010,92.04597001
6/5/2010,92.05896002
6/6/2010,92.07195002
6/7/2010,92.08494002
6/8/2010,92.09793002
6/9/2010,92.11092003
6/10/2010,92.12391003
6/11/2010,92.13690003
6/12/2010,92.14989003
6/13/2010,92.16288003
6/14/2010,92.17587003
6/15/2010,92.18886003
6/16/2010,92.20185003
6/17/2010,92.21484003
6/18/2010,92.22783003
6/19/2010,92.24082003
6/20/2010,92.25381003
6/21/2010,92.26680003
6/22/2010,92.27979003
6/23/2010,92.29278003
6/24/2010,92.30577002
6/25/2010,92.31876002
6/26/2010,92.33175002
6/27/2010,92.34474002
6/28/2010,92.35773001
6/29/2010,92.37072001
6/30/2010,92.38371
7/1/2010,92.3967
7/2/2010,92.40686452
7/3/2010,92.41702904
7/4/2010,92.42719356
7/5/2010,92.43735808
7/6/2010,92.4475226
7/7/2010,92.45768712
7/8/2010,92.46785164
7/9/2010,92.47801615
7/10/2010,92.48818067
7/11/2010,92.49834519
7/12/2010,92.50850971
7/13/2010,92.51867422
7/14/2010,92.52883874
7/15/2010,92.53900326
7/16/2010,92.54916777
7/17/2010,92.55933229
7/18/2010,92.56949681
7/19/2010,92.57966132
7/20/2010,92.58982584
7/21/2010,92.59999035
7/22/2010,92.61015487
7/23/2010,92.62031938
7/24/2010,92.6304839
7/25/2010,92.64064841
7/26/2010,92.65081292
7/27/2010,92.66097744
7/28/2010,92.67114195
7/29/2010,92.68130646
7/30/2010,92.69147098
7/31/2010,92.70163549
8/1/2010,92.7118
8/2/2010,92.71868387
8/3/2010,92.72556775
8/4/2010,92.73245162
8/5/2010,92.7393355
8/6/2010,92.74621937
8/7/2010,92.75310324
8/8/2010,92.75998712
8/9/2010,92.76687099
8/10/2010,92.77375486
8/11/2010,92.78063874
8/12/2010,92.78752261
8/13/2010,92.79440648
8/14/2010,92.80129035
8/15/2010,92.80817422
8/16/2010,92.81505809
8/17/2010,92.82194196
8/18/2010,92.82882584
8/19/2010,92.83570971
8/20/2010,92.84259358
8/21/2010,92.84947745
8/22/2010,92.85636132
8/23/2010,92.86324519
8/24/2010,92.87012905
8/25/2010,92.87701292
8/26/2010,92.88389679
8/27/2010,92.89078066
8/28/2010,92.89766453
8/29/2010,92.9045484
8/30/2010,92.91143227
8/31/2010,92.91831613
9/1/2010,92.9252
9/2/2010,92.91807667
9/3/2010,92.91095334
