"","time","value"
"1418",2013-11-18,11002.8866769103
"1419",2013-11-19,11004.8800100003
"1420",2013-11-20,11006.8733430116
"1421",2013-11-21,11008.8666759183
"1422",2013-11-22,11010.860008742
"1423",2013-11-23,11012.8533414629
"1424",2013-11-24,11014.8466740928
"1425",2013-11-25,11016.8400066373
"1426",2013-11-26,11018.8333390942
"1427",2013-11-27,11020.8266714618
"1428",2013-11-28,11022.8200037407
"1429",2013-11-29,11024.8133359163
"1430",2013-11-30,11026.8066680052
"1431",2013-12-01,11028.8000000007
"1432",2013-12-02,11030.4161303587
"1433",2013-12-03,11032.0322606294
"1434",2013-12-04,11033.6483907925
"1435",2013-12-05,11035.2645208827
"1436",2013-12-06,11036.8806508764
"1437",2013-12-07,11038.4967807863
"1438",2013-12-08,11040.1129106097
"1439",2013-12-09,11041.7290403349
"1440",2013-12-10,11043.3451699789
"1441",2013-12-11,11044.9612995271
"1442",2013-12-12,11046.5774289954
"1443",2013-12-13,11048.1935583648
"1444",2013-12-14,11049.809687655
"1445",2013-12-15,11051.4258168619
"1446",2013-12-16,11053.04194597
"1447",2013-12-17,11054.6580749994
"1448",2013-12-18,11056.274203934
"1449",2013-12-19,11057.8903327858
"1450",2013-12-20,11059.5064615586
"1451",2013-12-21,11061.1225902302
"1452",2013-12-22,11062.7387188172
"1453",2013-12-23,11064.3548473276
"1454",2013-12-24,11065.9709757479
"1455",2013-12-25,11067.5871040811
"1456",2013-12-26,11069.2032323172
"1457",2013-12-27,11070.8193604839
"1458",2013-12-28,11072.4354885579
"1459",2013-12-29,11074.051616547
"1460",2013-12-30,11075.6677444485
"1461",2013-12-31,11077.283872258
"1462",2014-01-01,11078.9000000033
"1463",2014-01-02,11081.5483883277
"1464",2014-01-03,11084.1967765668
"1465",2014-01-04,11086.8451647308
"1466",2014-01-05,11089.4935528042
"1467",2014-01-06,11092.1419407928
"1468",2014-01-07,11094.7903287095
"1469",2014-01-08,11097.4387165177
"1470",2014-01-09,11100.0871042683
"1471",2014-01-10,11102.7354919231
"1472",2014-01-11,11105.3838794954
"1473",2014-01-12,11108.032266992
"1474",2014-01-13,11110.6806544069
"1475",2014-01-14,11113.3290417369
"1476",2014-01-15,11115.9774289783
"1477",2014-01-16,11118.6258161388
"1478",2014-01-17,11121.2742032322
"1479",2014-01-18,11123.9225902477
"1480",2014-01-19,11126.5709771661
"1481",2014-01-20,11129.2193640081
"1482",2014-01-21,11131.8677507799
"1483",2014-01-22,11134.5161374621
"1484",2014-01-23,11137.1645240689
"1485",2014-01-24,11139.8129105952
"1486",2014-01-25,11142.4612970424
"1487",2014-01-26,11145.1096834126
"1488",2014-01-27,11147.7580697066
"1489",2014-01-28,11150.406455922
"1490",2014-01-29,11153.0548420546
"1491",2014-01-30,11155.7032281167
"1492",2014-01-31,11158.3516140989
"1493",2014-02-01,11161.0000000027
"1494",2014-02-02,11162.4000010174
"1495",2014-02-03,11163.8000019616
"1496",2014-02-04,11165.2000028197
"1497",2014-02-05,11166.6000036088
"1498",2014-02-06,11168.0000043178
"1499",2014-02-07,11169.4000049552
"1500",2014-02-08,11170.8000055125
"1501",2014-02-09,11172.2000059967
"1502",2014-02-10,11173.6000064033
"1503",2014-02-11,11175.0000067387
"1504",2014-02-12,11176.4000069983
"1505",2014-02-13,11177.8000071743
"1506",2014-02-14,11179.200007283
"1507",2014-02-15,11180.6000073195
"1508",2014-02-16,11182.0000072763
"1509",2014-02-17,11183.4000071649
"1510",2014-02-18,11184.8000069761
"1511",2014-02-19,11186.2000067058
"1512",2014-02-20,11187.6000063653
"1513",2014-02-21,11189.0000059549
"1514",2014-02-22,11190.4000054718
"1515",2014-02-23,11191.8000049068
"1516",2014-02-24,11193.2000042761
"1517",2014-02-25,11194.6000035685
"1518",2014-02-26,11196.0000027855
"1519",2014-02-27,11197.4000019302
"1520",2014-02-28,11198.800001004
"1521",2014-03-01,11200.2000000089
"1522",2014-03-02,11202.0290333226
"1523",2014-03-03,11203.858066569
"1524",2014-03-04,11205.6870997449
"1525",2014-03-05,11207.5161328439
"1526",2014-03-06,11209.3451658796
"1527",2014-03-07,11211.1741988345
"1528",2014-03-08,11213.0032317176
"1529",2014-03-09,11214.832264542
"1530",2014-03-10,11216.6612972821
"1531",2014-03-11,11218.4903299592
"1532",2014-03-12,11220.3193625562
"1533",2014-03-13,11222.1483950869
"1534",2014-03-14,11223.9774275514
"1535",2014-03-15,11225.8064599387
"1536",2014-03-16,11227.635492257
"1537",2014-03-17,11229.4645245138
"1538",2014-03-18,11231.2935566917
"1539",2014-03-19,11233.1225888028
"1540",2014-03-20,11234.951620853
"1541",2014-03-21,11236.7806528236
"1542",2014-03-22,11238.60968472
"1543",2014-03-23,11240.438716559
"1544",2014-03-24,11242.2677483198
"1545",2014-03-25,11244.0967800244
"1546",2014-03-26,11245.9258116519
"1547",2014-03-27,11247.7548432158
"1548",2014-03-28,11249.5838747055
"1549",2014-03-29,11251.4129061319
"1550",2014-03-30,11253.241937483
"1551",2014-03-31,11255.0709687759
"1552",2014-04-01,11256.9000000016
"1553",2014-04-02,11259.2133342703
"1554",2014-04-03,11261.5266684765
"1555",2014-04-04,11263.8400026159
"1556",2014-04-05,11266.1533366893
"1557",2014-04-06,11268.4666706952
"1558",2014-04-07,11270.7800046335
"1559",2014-04-08,11273.0933385035
"1560",2014-04-09,11275.4066723148
"1561",2014-04-10,11277.7200060595
"1562",2014-04-11,11280.0333397363
"1563",2014-04-12,11282.3466733466
"1564",2014-04-13,11284.6600068957
"1565",2014-04-14,11286.9733403808
"1566",2014-04-15,11289.286673805
"1567",2014-04-16,11291.6000071583
"1568",2014-04-17,11293.91334044
"1569",2014-04-18,11296.2266736719
"1570",2014-04-19,11298.540006843
"1571",2014-04-20,11300.8533399447
"1572",2014-04-21,11303.1666729871
"1573",2014-04-22,11305.4800059676
"1574",2014-04-23,11307.793338882
"1575",2014-04-24,11310.1066717403
"1576",2014-04-25,11312.4200045349
"1577",2014-04-26,11314.7333372605
"1578",2014-04-27,11317.0466699309
"1579",2014-04-28,11319.3600025358
"1580",2014-04-29,11321.6733350807
"1581",2014-04-30,11323.9866675781
"1582",2014-05-01,11326.3000000005
"1583",2014-05-02,11328.0548395773
"1584",2014-05-03,11329.8096791089
"1585",2014-05-04,11331.5645185709
"1586",2014-05-05,11333.3193579735
"1587",2014-05-06,11335.0741973193
"1588",2014-05-07,11336.8290366065
"1589",2014-05-08,11338.5838758324
"1590",2014-05-09,11340.3387149959
"1591",2014-05-10,11342.0935541041
"1592",2014-05-11,11343.8483931555
"1593",2014-05-12,11345.6032321427
"1594",2014-05-13,11347.3580710793
"1595",2014-05-14,11349.1129099548
"1596",2014-05-15,11350.8677487718
"1597",2014-05-16,11352.6225875369
"1598",2014-05-17,11354.3774262393
"1599",2014-05-18,11356.1322648815
"1600",2014-05-19,11357.8871034721
"1601",2014-05-20,11359.6419420041
"1602",2014-05-21,11361.3967804806
"1603",2014-05-22,11363.1516188908
"1604",2014-05-23,11364.9064572546
"1605",2014-05-24,11366.6612955593
"1606",2014-05-25,11368.4161338119
"1607",2014-05-26,11370.1709720094
"1608",2014-05-27,11371.9258101404
"1609",2014-05-28,11373.6806482302
"1610",2014-05-29,11375.4354862506
"1611",2014-05-30,11377.190324224
"1612",2014-05-31,11378.9451621391
"1613",2014-06-01,11380.7000000078
"1614",2014-06-02,11382.6733340985
"1615",2014-06-03,11384.6466681452
"1616",2014-06-04,11386.6200021287
"1617",2014-06-05,11388.5933360548
"1618",2014-06-06,11390.5666699366
"1619",2014-06-07,11392.5400037687
"1620",2014-06-08,11394.5133375411
"1621",2014-06-09,11396.4866712604
"1622",2014-06-10,11398.4600049227
"1623",2014-06-11,11400.4333385362
"1624",2014-06-12,11402.4066720939
"1625",2014-06-13,11404.3800056044
"1626",2014-06-14,11406.3533390605
"1627",2014-06-15,11408.3266724662
"1628",2014-06-16,11410.3000058116
"1629",2014-06-17,11412.2733391248
"1630",2014-06-18,11414.246672367
"1631",2014-06-19,11416.2200055662
"1632",2014-06-20,11418.1933387173
"1633",2014-06-21,11420.1666718097
"1634",2014-06-22,11422.1400048512
"1635",2014-06-23,11424.1133378483
"1636",2014-06-24,11426.0866707903
"1637",2014-06-25,11428.0600036804
"1638",2014-06-26,11430.0333365244
"1639",2014-06-27,11432.0066693174
"1640",2014-06-28,11433.9800020651
"1641",2014-06-29,11435.9533347628
"1642",2014-06-30,11437.9266674061
"1643",2014-07-01,11439.9000000035
"1644",2014-07-02,11440.8516136222
"1645",2014-07-03,11441.803227193
"1646",2014-07-04,11442.7548407203
"1647",2014-07-05,11443.7064541822
"1648",2014-07-06,11444.6580676025
"1649",2014-07-07,11445.6096809838
"1650",2014-07-08,11446.5612943101
"1651",2014-07-09,11447.512907589
"1652",2014-07-10,11448.4645208239
"1653",2014-07-11,11449.4161340132
"1654",2014-07-12,11450.367747148
"1655",2014-07-13,11451.3193602328
"1656",2014-07-14,11452.2709732844
"1657",2014-07-15,11453.2225862734
"1658",2014-07-16,11454.1741992217
"1659",2014-07-17,11455.1258121247
"1660",2014-07-18,11456.0774249713
"1661",2014-07-19,11457.0290377831
"1662",2014-07-20,11457.9806505367
"1663",2014-07-21,11458.9322632479
"1664",2014-07-22,11459.8838759146
"1665",2014-07-23,11460.8354885299
"1666",2014-07-24,11461.7871011092
"1667",2014-07-25,11462.7387136292
"1668",2014-07-26,11463.6903261046
"1669",2014-07-27,11464.6419385415
"1670",2014-07-28,11465.593550923
"1671",2014-07-29,11466.5451632576
"1672",2014-07-30,11467.4967755587
"1673",2014-07-31,11468.4483878058
"1674",2014-08-01,11469.4000000013
"1675",2014-08-02,11470.4774200303
"1676",2014-08-03,11471.5548400094
"1677",2014-08-04,11472.6322599448
"1678",2014-08-05,11473.7096798306
"1679",2014-08-06,11474.7870996634
"1680",2014-08-07,11475.8645194629
"1681",2014-08-08,11476.9419392168
"1682",2014-08-09,11478.0193589209
"1683",2014-08-10,11479.0967785858
"1684",2014-08-11,11480.1741981954
"1685",2014-08-12,11481.2516177706
"1686",2014-08-13,11482.3290373075
"1687",2014-08-14,11483.4064567857
"1688",2014-08-15,11484.4838762179
"1689",2014-08-16,11485.5612956166
"1690",2014-08-17,11486.6387149784
"1691",2014-08-18,11487.7161342751
"1692",2014-08-19,11488.7935535396
"1693",2014-08-20,11489.8709727699
"1694",2014-08-21,11490.9483919375
"1695",2014-08-22,11492.0258110657
"1696",2014-08-23,11493.1032301518
"1697",2014-08-24,11494.1806492022
"1698",2014-08-25,11495.2580681997
"1699",2014-08-26,11496.3354871544
"1700",2014-08-27,11497.4129060686
"1701",2014-08-28,11498.4903249422
"1702",2014-08-29,11499.5677437747
"1703",2014-08-30,11500.645162559
"1704",2014-08-31,11501.7225813056
"1705",2014-09-01,11502.8000000123
"1706",2014-09-02,11504.8200005934
"1707",2014-09-03,11506.8400011294
"1708",2014-09-04,11508.8600016334
"1709",2014-09-05,11510.880002091
"1710",2014-09-06,11512.9000025055
"1711",2014-09-07,11514.9200028838
"1712",2014-09-08,11516.940003219
"1713",2014-09-09,11518.9600035141
"1714",2014-09-10,11520.9800037627
"1715",2014-09-11,11523.0000039737
"1716",2014-09-12,11525.0200041447
"1717",2014-09-13,11527.0400042793
"1718",2014-09-14,11529.0600043745
"1719",2014-09-15,11531.0800044258
"1720",2014-09-16,11533.1000044343
"1721",2014-09-17,11535.1200044127
"1722",2014-09-18,11537.1400043472
"1723",2014-09-19,11539.1600042405
"1724",2014-09-20,11541.1800040967
"1725",2014-09-21,11543.200003913
"1726",2014-09-22,11545.2200036892
"1727",2014-09-23,11547.2400034275
"1728",2014-09-24,11549.2600031286
"1729",2014-09-25,11551.2800027974
"1730",2014-09-26,11553.3000024158
"1731",2014-09-27,11555.320002012
"1732",2014-09-28,11557.3400015709
"1733",2014-09-29,11559.3600010838
"1734",2014-09-30,11561.3800005614
"1735",2014-10-01,11563.4000000079
"1736",2014-10-02,11564.7322585881
"1737",2014-10-03,11566.0645171451
"1738",2014-10-04,11567.3967756599
"1739",2014-10-05,11568.7290341413
"1740",2014-10-06,11570.06129259
"1741",2014-10-07,11571.393550998
"1742",2014-10-08,11572.7258093721
"1743",2014-10-09,11574.0580677057
"1744",2014-10-10,11575.3903260061
"1745",2014-10-11,11576.72258428
"1746",2014-10-12,11578.054842512
"1747",2014-10-13,11579.3871006998
"1748",2014-10-14,11580.7193588723
"1749",2014-10-15,11582.0516170028
"1750",2014-10-16,11583.3838750958
"1751",2014-10-17,11584.7161331542
"1752",2014-10-18,11586.0483911735
"1753",2014-10-19,11587.3806491632
"1754",2014-10-20,11588.7129071293
"1755",2014-10-21,11590.0451650462
"1756",2014-10-22,11591.3774229383
"1757",2014-10-23,11592.7096807907
"1758",2014-10-24,11594.041938605
"1759",2014-10-25,11595.3741964044
"1760",2014-10-26,11596.7064541529
"1761",2014-10-27,11598.0387118794
"1762",2014-10-28,11599.3709695655
"1763",2014-10-29,11600.7032272234
"1764",2014-10-30,11602.0354848605
"1765",2014-10-31,11603.3677424458
"1766",2014-11-01,11604.7000000037
"1767",2014-11-02,11607.2600004348
"1768",2014-11-03,11609.8200008277
"1769",2014-11-04,11612.3800011953
"1770",2014-11-05,11614.9400015317
"1771",2014-11-06,11617.5000018359
"1772",2014-11-07,11620.060002105
"1773",2014-11-08,11622.6200023447
"1774",2014-11-09,11625.1800025549
"1775",2014-11-10,11627.7400027368
"1776",2014-11-11,11630.3000028916
"1777",2014-11-12,11632.8600030164
"1778",2014-11-13,11635.4200030989
"1779",2014-11-14,11637.9800031569
"1780",2014-11-15,11640.5400031893
"1781",2014-11-16,11643.1000032034
"1782",2014-11-17,11645.6600031688
"1783",2014-11-18,11648.2200031251
"1784",2014-11-19,11650.7800030392
"1785",2014-11-20,11653.3400029325
"1786",2014-11-21,11655.9000027939
"1787",2014-11-22,11658.4600026378
"1788",2014-11-23,11661.0200024449
"1789",2014-11-24,11663.5800022314
"1790",2014-11-25,11666.1400019878
"1791",2014-11-26,11668.70000172
"1792",2014-11-27,11671.260001435
"1793",2014-11-28,11673.8200011167
