Date,%
15-Jun-18,96.7
22-Jun-18,97.5
29-Jun-18,97.1
6-Jul-18,96.7
13-Jul-18,94.3
20-Jul-18,93.8
27-Jul-18,96.1
3-Aug-18,96.6
10-Aug-18,98.1
17-Aug-18,98.1
24-Aug-18,96.3
31-Aug-18,96.6
7-Sep-18,97.6
14-Sep-18,95.4
21-Sep-18,90.4
28-Sep-18,90.4
5-Oct-18,88.8
12-Oct-18,88.8
19-Oct-18,89.2
26-Oct-18,89.4
2-Nov-18,90
9-Nov-18,90.1
16-Nov-18,92.7
23-Nov-18,95.6
30-Nov-18,95.5
7-Dec-18,95.1
14-Dec-18,95.4
21-Dec-18,95.1
28-Dec-18,97.2
4-Jan-19,96.1
11-Jan-19,94.6
18-Jan-19,92.9
25-Jan-19,90.1
1-Feb-19,90.7
8-Feb-19,85.9
15-Feb-19,85.9
22-Feb-19,87.1
1-Mar-19,87.5
8-Mar-19,87.6
15-Mar-19,88.9
22-Mar-19,86.6
29-Mar-19,86.4
5-Apr-19,87.5
12-Apr-19,87.7
19-Apr-19,90.1
26-Apr-19,89.2
3-May-19,88.9
10-May-19,90.5
17-May-19,89.9
24-May-19,91.2
31-May-19,91.8
7-Jun-19,93.2
14-Jun-19,93.9
21-Jun-19,94.2
28-Jun-19,94.2
5-Jul-19,94.7
12-Jul-19,94.4
19-Jul-19,93.1
26-Jul-19,93
2-Aug-19,96.4
9-Aug-19,94.8
16-Aug-19,95.9
23-Aug-19,95.2
30-Aug-19,94.8
6-Sep-19,95.1
13-Sep-19,91.2
20-Sep-19,89.8
27-Sep-19,86.4
4-Oct-19,85.7
11-Oct-19,83.1
18-Oct-19,85.2
25-Oct-19,87.7
1-Nov-19,86
8-Nov-19,87.8
15-Nov-19,89.5
22-Nov-19,89.3
29-Nov-19,91.9
6-Dec-19,90.6
13-Dec-19,90.6
20-Dec-19,93.3
27-Dec-19,94.5
3-Jan-20,93
