Date,XOI
9/13/2018,"1,489.33"
9/12/2018,"1,483.72"
9/11/2018,"1,474.86"
9/10/2018,"1,463.78"
9/7/2018,"1,465.45"
9/6/2018,"1,472.42"
9/5/2018,"1,496.59"
9/4/2018,"1,502.52"
8/31/2018,"1,506.07"
8/30/2018,"1,518.78"
8/29/2018,"1,527.51"
8/28/2018,"1,514.66"
8/27/2018,"1,523.29"
8/24/2018,"1,506.93"
8/23/2018,"1,489.80"
8/22/2018,"1,492.05"
8/21/2018,"1,470.61"
8/20/2018,"1,465.51"
8/17/2018,"1,453.16"
8/16/2018,"1,450.46"
8/15/2018,"1,441.40"
8/14/2018,"1,502.60"
8/13/2018,"1,495.43"
8/10/2018,"1,510.01"
8/9/2018,"1,512.30"
8/8/2018,"1,526.93"
8/7/2018,"1,536.10"
8/6/2018,"1,528.01"
8/3/2018,"1,523.65"
8/2/2018,"1,532.50"
8/1/2018,"1,541.76"
7/31/2018,"1,563.73"
7/30/2018,"1,562.43"
7/27/2018,"1,546.37"
7/26/2018,"1,543.61"
7/25/2018,"1,527.75"
7/24/2018,"1,510.28"
7/23/2018,"1,489.60"
7/20/2018,"1,492.52"
7/19/2018,"1,490.94"
7/18/2018,"1,492.73"
7/17/2018,"1,491.56"
7/16/2018,"1,497.57"
7/13/2018,"1,520.59"
7/12/2018,"1,512.65"
7/11/2018,"1,504.70"
7/10/2018,"1,546.37"
7/9/2018,"1,536.61"
7/6/2018,"1,510.57"
7/5/2018,"1,500.63"
7/4/2018,"1,292.07"
7/3/2018,"1,505.37"
7/2/2018,"1,494.70"
6/29/2018,"1,516.01"
6/28/2018,"1,502.73"
6/27/2018,"1,505.01"
6/26/2018,"1,488.45"
6/25/2018,"1,467.25"
6/22/2018,"1,504.19"
6/21/2018,"1,466.81"
6/20/2018,"1,498.43"
6/19/2018,"1,493.32"
6/18/2018,"1,500.40"
6/15/2018,"1,482.74"
6/14/2018,"1,515.59"
6/13/2018,"1,520.20"
6/12/2018,"1,525.94"
6/11/2018,"1,546.44"
6/8/2018,"1,540.83"
6/7/2018,"1,547.60"
6/6/2018,"1,527.59"
6/5/2018,"1,526.38"
6/4/2018,"1,535.01"
6/1/2018,"1,542.94"
5/31/2018,"1,528.83"
5/30/2018,"1,540.27"
5/29/2018,"1,495.25"
5/25/2018,"1,497.05"
5/24/2018,"1,536.15"
5/23/2018,"1,554.39"
5/22/2018,"1,564.46"
5/21/2018,"1,585.07"
5/18/2018,"1,571.40"
5/17/2018,"1,577.65"
5/16/2018,"1,549.59"
5/15/2018,"1,550.58"
5/14/2018,"1,550.01"
5/11/2018,"1,535.23"
5/10/2018,"1,535.07"
5/9/2018,"1,523.29"
5/8/2018,"1,487.79"
5/7/2018,"1,478.16"
5/4/2018,"1,479.36"
5/3/2018,"1,475.76"
5/2/2018,"1,469.14"
5/1/2018,"1,464.10"
4/30/2018,"1,472.14"
4/27/2018,"1,475.69"
4/26/2018,"1,491.63"
4/25/2018,"1,470.04"
4/24/2018,"1,465.20"
4/23/2018,"1,474.82"
4/20/2018,"1,467.56"
4/19/2018,"1,470.57"
4/18/2018,"1,461.56"
4/17/2018,"1,437.90"
4/16/2018,"1,428.68"
4/13/2018,"1,416.75"
4/12/2018,"1,405.13"
4/11/2018,"1,404.17"
4/10/2018,"1,383.88"
4/9/2018,"1,345.51"
4/6/2018,"1,333.67"
4/5/2018,"1,353.53"
4/4/2018,"1,328.81"
4/3/2018,"1,327.70"
4/2/2018,"1,300.00"
3/30/2018,"1,077.65"
3/29/2018,"1,326.80"
3/28/2018,"1,300.32"
3/27/2018,"1,323.30"
3/26/2018,"1,339.29"
3/23/2018,"1,307.55"
3/22/2018,"1,310.87"
3/21/2018,"1,334.70"
3/20/2018,"1,298.77"
3/19/2018,"1,279.75"
3/16/2018,"1,300.30"
3/15/2018,"1,287.74"
3/14/2018,"1,291.93"
3/13/2018,"1,296.00"
3/12/2018,"1,301.40"
3/9/2018,"1,307.39"
3/8/2018,"1,286.78"
3/7/2018,"1,286.18"
3/6/2018,"1,295.61"
3/5/2018,"1,292.22"
3/2/2018,"1,279.99"
3/1/2018,"1,275.54"
2/28/2018,"1,275.25"
2/27/2018,"1,305.12"
2/26/2018,"1,326.45"
2/23/2018,"1,319.88"
2/22/2018,"1,294.80"
2/21/2018,"1,279.21"
2/20/2018,"1,295.07"
2/16/2018,"1,299.70"
2/15/2018,"1,303.34"
2/14/2018,"1,307.75"
2/13/2018,"1,278.59"
2/12/2018,"1,281.34"
2/9/2018,"1,260.98"
2/8/2018,"1,260.12"
2/7/2018,"1,299.58"
2/6/2018,"1,324.89"
2/5/2018,"1,308.51"
2/2/2018,"1,363.17"
2/1/2018,"1,413.15"
1/31/2018,"1,406.23"
1/30/2018,"1,398.27"
1/29/2018,"1,430.32"
1/26/2018,"1,452.70"
1/25/2018,"1,440.57"
1/24/2018,"1,448.04"
1/23/2018,"1,442.31"
1/22/2018,"1,441.82"
1/19/2018,"1,415.54"
1/18/2018,"1,418.27"
1/17/2018,"1,425.09"
1/16/2018,"1,411.25"
1/12/2018,"1,430.84"
1/11/2018,"1,414.27"
1/10/2018,"1,388.58"
1/9/2018,"1,386.88"
1/8/2018,"1,391.09"
1/5/2018,"1,386.89"
1/4/2018,"1,384.45"
1/3/2018,"1,373.12"
1/2/2018,"1,356.61"
12/29/2017,"1,335.55"
12/28/2017,"1,340.65"
12/27/2017,"1,338.66"
12/26/2017,"1,342.48"
12/22/2017,"1,327.01"
12/21/2017,"1,323.45"
12/20/2017,"1,300.29"
12/19/2017,"1,282.04"
12/18/2017,"1,281.63"
12/15/2017,"1,272.89"
12/14/2017,"1,275.45"
12/13/2017,"1,278.90"
12/12/2017,"1,277.37"
12/11/2017,"1,276.58"
12/8/2017,"1,271.31"
12/7/2017,"1,259.41"
12/6/2017,"1,256.48"
12/5/2017,"1,273.74"
12/4/2017,"1,272.18"
12/1/2017,"1,275.15"
11/30/2017,"1,270.19"
11/29/2017,"1,253.56"
11/28/2017,"1,249.67"
11/27/2017,"1,239.25"
11/24/2017,"1,251.72"
11/22/2017,"1,247.72"
11/21/2017,"1,240.97"
11/20/2017,"1,235.66"
11/17/2017,"1,241.80"
11/16/2017,"1,236.54"
11/15/2017,"1,240.45"
11/14/2017,"1,253.04"
11/13/2017,"1,268.85"
11/10/2017,"1,276.03"
11/9/2017,"1,281.95"
11/8/2017,"1,281.14"
11/7/2017,"1,287.87"
11/6/2017,"1,289.96"
11/3/2017,"1,263.67"
11/2/2017,"1,261.86"
11/1/2017,"1,250.93"
10/31/2017,"1,235.61"
10/30/2017,"1,229.77"
10/27/2017,"1,221.93"
10/26/2017,"1,212.26"
10/25/2017,"1,212.00"
10/24/2017,"1,220.69"
10/23/2017,"1,216.69"
10/20/2017,"1,220.80"
10/19/2017,"1,215.52"
10/18/2017,"1,217.72"
10/17/2017,"1,221.80"
10/16/2017,"1,221.83"
10/13/2017,"1,219.90"
10/12/2017,"1,217.86"
10/11/2017,"1,221.84"
