Date,MSCI
9/9/2011,31.690001
9/12/2011,32.18
9/13/2011,32.400002
9/14/2011,33.139999
9/15/2011,32.560001
9/16/2011,32.610001
9/19/2011,31.33
9/20/2011,30.940001
9/21/2011,29.67
9/22/2011,29.190001
9/23/2011,29.67
9/26/2011,31.610001
9/27/2011,32.200001
9/28/2011,31.34
9/29/2011,31.889999
9/30/2011,30.33
10/3/2011,27.940001
10/4/2011,28.85
10/5/2011,29.809999
10/6/2011,30.42
10/7/2011,30
10/10/2011,30.629999
10/11/2011,30.91
10/12/2011,32.27
10/13/2011,32.459999
10/14/2011,32.84
10/17/2011,31.48
10/18/2011,32.310001
10/19/2011,31.809999
10/20/2011,31.98
10/21/2011,32.59
10/24/2011,33.349998
10/25/2011,32.310001
10/26/2011,32.66
10/27/2011,34.380001
10/28/2011,34.060001
10/31/2011,33.389999
11/1/2011,31.469999
11/2/2011,32.939999
11/3/2011,34.099998
11/4/2011,34.049999
11/7/2011,34.529999
11/8/2011,34.970001
11/9/2011,33.59
11/10/2011,33.759998
11/11/2011,34.419998
11/14/2011,33.740002
11/15/2011,34.060001
11/16/2011,33
11/17/2011,32.799999
11/18/2011,32.599998
11/21/2011,32
11/22/2011,31.98
11/23/2011,31.4
11/25/2011,31.219999
11/28/2011,32.439999
11/29/2011,32.18
11/30/2011,33.75
12/1/2011,33.799999
12/2/2011,33.900002
12/5/2011,33.970001
12/6/2011,34
12/7/2011,33.389999
12/8/2011,32.259998
12/9/2011,33.27
12/12/2011,33.139999
12/13/2011,32.59
12/14/2011,31.83
12/15/2011,32.290001
12/16/2011,32.509998
12/19/2011,32.130001
12/20/2011,33.060001
12/21/2011,32.860001
12/22/2011,32.799999
12/23/2011,33.41
12/27/2011,33.41
12/28/2011,32.369999
12/29/2011,32.77
12/30/2011,32.93
1/3/2012,32.810001
1/4/2012,32.349998
1/5/2012,32.720001
1/6/2012,33.099998
1/9/2012,32.970001
1/10/2012,33.52
1/11/2012,33.48
1/12/2012,33.439999
1/13/2012,32.689999
1/17/2012,32.380001
1/18/2012,32.18
1/19/2012,32.549999
1/20/2012,32.48
1/23/2012,32.389999
1/24/2012,31.889999
1/25/2012,32.43
1/26/2012,32.650002
1/27/2012,32.860001
1/30/2012,32.610001
1/31/2012,32.580002
2/1/2012,33.560001
2/2/2012,33.02
2/3/2012,34.189999
2/6/2012,34.43
2/7/2012,34.73
2/8/2012,34.860001
2/9/2012,35.330002
2/10/2012,34.84
2/13/2012,34.740002
2/14/2012,34.869999
2/15/2012,34.16
2/16/2012,34.639999
2/17/2012,34.099998
2/21/2012,34.540001
2/22/2012,34.610001
2/23/2012,34.02
2/24/2012,34.43
2/27/2012,35.310001
2/28/2012,35.209999
2/29/2012,35.380001
3/1/2012,35.529999
3/2/2012,35.080002
3/5/2012,35.080002
3/6/2012,34.330002
3/7/2012,34.799999
3/8/2012,36.25
3/9/2012,36.599998
3/12/2012,36.52
3/13/2012,37.689999
3/14/2012,37.389999
3/15/2012,37.810001
3/16/2012,37.77
3/19/2012,37.709999
3/20/2012,37.779999
3/21/2012,37.610001
3/22/2012,37.009998
3/23/2012,37.200001
3/26/2012,37.66
3/27/2012,37.369999
3/28/2012,37.060001
3/29/2012,37.130001
3/30/2012,36.810001
4/2/2012,37.299999
4/3/2012,37.740002
4/4/2012,37.02
4/5/2012,37.119999
4/9/2012,36.759998
4/10/2012,35.650002
4/11/2012,35.689999
4/12/2012,36.419998
4/13/2012,35.709999
4/16/2012,35.779999
4/17/2012,36.290001
4/18/2012,35.709999
4/19/2012,35.5
4/20/2012,35.419998
4/23/2012,35.139999
4/24/2012,35.59
4/25/2012,36.09
4/26/2012,36.810001
4/27/2012,36.830002
4/30/2012,36.59
5/1/2012,36.720001
5/2/2012,35.200001
5/3/2012,36.220001
5/4/2012,35.02
5/7/2012,34.34
5/8/2012,34.360001
5/9/2012,34.18
5/10/2012,33.919998
5/11/2012,33.880001
5/14/2012,32.970001
5/15/2012,32.84
5/16/2012,32.900002
5/17/2012,32.380001
5/18/2012,32.799999
5/21/2012,33.349998
5/22/2012,34.07
5/23/2012,33.810001
5/24/2012,33.689999
5/25/2012,34.099998
5/29/2012,34.650002
5/30/2012,34.200001
5/31/2012,33.810001
6/1/2012,33.380001
6/4/2012,33.130001
6/5/2012,33.200001
6/6/2012,33.560001
6/7/2012,33.52
6/8/2012,33.23
6/11/2012,32.560001
6/12/2012,32.209999
6/13/2012,31.67
6/14/2012,31.959999
6/15/2012,32.150002
6/18/2012,31.92
6/19/2012,32.43
6/20/2012,32.84
6/21/2012,32
6/22/2012,32.650002
6/25/2012,31.6
6/26/2012,31.790001
6/27/2012,32.189999
6/28/2012,32.689999
6/29/2012,34.02
7/2/2012,34.279999
7/3/2012,34.200001
7/5/2012,34.07
7/6/2012,34.27
7/9/2012,33.77
7/10/2012,33.470001
7/11/2012,33.080002
7/12/2012,33.07
7/13/2012,33.990002
7/16/2012,33.5
7/17/2012,33.82
7/18/2012,34.119999
7/19/2012,34.349998
7/20/2012,33.790001
7/23/2012,33.310001
7/24/2012,32.610001
7/25/2012,32.650002
7/26/2012,32.849998
7/27/2012,33.470001
7/30/2012,33.240002
7/31/2012,33.150002
8/1/2012,33.299999
8/2/2012,32.23
8/3/2012,33.290001
8/6/2012,33.41
8/7/2012,34.830002
8/8/2012,35.080002
8/9/2012,35.049999
8/10/2012,35.299999
8/13/2012,35.330002
8/14/2012,35.549999
8/15/2012,36.009998
8/16/2012,36.27
8/17/2012,35.860001
8/20/2012,35.290001
8/21/2012,35.560001
8/22/2012,35.59
8/23/2012,35.09
8/24/2012,35.43
8/27/2012,35.16
8/28/2012,35.040001
8/29/2012,35.310001
8/30/2012,34.900002
8/31/2012,35.080002
9/4/2012,35.599998
9/5/2012,35.82
9/6/2012,36.66
9/7/2012,36.689999
9/10/2012,36.220001
9/11/2012,35.66
9/12/2012,36.25
9/13/2012,36.439999
9/14/2012,36.73
9/17/2012,36.360001
9/18/2012,36.16
9/19/2012,36
9/20/2012,35.98
9/21/2012,36.040001
9/24/2012,35.66
9/25/2012,35.09
9/26/2012,35.389999
9/27/2012,36.189999
9/28/2012,35.790001
10/1/2012,35.82
10/2/2012,26.209999
10/3/2012,28.27
10/4/2012,27.34
10/5/2012,26.860001
10/8/2012,26.4
10/9/2012,26.33
10/10/2012,26.540001
10/11/2012,26.41
10/12/2012,25.93
10/15/2012,25.59
10/16/2012,27.200001
10/17/2012,27.440001
10/18/2012,27.370001
10/19/2012,27.02
10/22/2012,27.110001
10/23/2012,27.15
10/24/2012,27.02
10/25/2012,27.049999
10/26/2012,27.540001
10/31/2012,26.940001
11/1/2012,27.75
11/2/2012,26.879999
11/5/2012,27.25
11/6/2012,26.1
11/7/2012,26.110001
11/8/2012,26.200001
11/9/2012,26.209999
11/12/2012,26
11/13/2012,25.99
11/14/2012,25.99
11/15/2012,25.959999
11/16/2012,25.82
11/19/2012,26.24
11/20/2012,26.15
11/21/2012,26.290001
11/23/2012,26.75
11/26/2012,27.110001
11/27/2012,26.809999
11/28/2012,27.309999
11/29/2012,28.42
11/30/2012,29
12/3/2012,29.09
12/4/2012,29.18
12/5/2012,29.51
12/6/2012,30.17
12/7/2012,29.780001
12/10/2012,29.379999
12/11/2012,29.49
12/12/2012,29.379999
12/13/2012,29.200001
12/14/2012,30.16
12/17/2012,30.879999
12/18/2012,30.99
12/19/2012,31.059999
12/20/2012,31.41
12/21/2012,31.08
12/24/2012,31.15
12/26/2012,30.58
12/27/2012,30.67
12/28/2012,30.82
12/31/2012,30.99
1/2/2013,32.130001
1/3/2013,31.969999
1/4/2013,31.85
1/7/2013,31.870001
1/8/2013,31.790001
1/9/2013,31.93
1/10/2013,32.139999
1/11/2013,31.969999
1/14/2013,31.93
1/15/2013,32.360001
1/16/2013,31.969999
1/17/2013,31.790001
1/18/2013,32.09
1/22/2013,32.900002
1/23/2013,33.060001
1/24/2013,33.349998
1/25/2013,33.66
1/28/2013,34.02
1/29/2013,34.099998
1/30/2013,33.790001
1/31/2013,33.740002
2/1/2013,33.799999
2/4/2013,33.23
2/5/2013,33.880001
